Time, Displacement, Force
0.000000, 0.000000, 0.000000
0.040000, -0.100000, -1.497159
0.080000, -0.200000, -3.002786
0.120000, -0.300000, -4.531551
0.160000, -0.400000, -6.099538
0.200000, -0.500000, -7.724552
0.240000, -0.600000, -9.426487
0.280000, -0.700000, -11.227775
0.320000, -0.800000, -13.153927
0.360000, -0.900000, -15.234200
0.400000, -1.000000, -17.502419
0.440000, -1.100000, -19.997985
0.480000, -1.200000, -22.767133
0.520000, -1.300000, -25.864502
0.560000, -1.400000, -29.355098
0.600000, -1.500000, -33.316781
0.640000, -1.600000, -37.843412
0.680000, -1.700000, -43.048875
0.720000, -1.800000, -49.072235
0.760000, -1.900000, -56.084414
0.800000, -2.000000, -64.296861
0.840000, -2.100000, -73.972917
0.880000, -2.200000, -85.442787
0.920000, -2.300000, -99.123432
0.960000, -2.400000, -115.545167
1.000000, -2.500000, -135.387497
